FAWN Station,Period,2m T avg (F),2m T min (F),2m T max (F),Tsoil avg-10cm  (F),Tsoil min(avg)-10cm  (F),Tsoil max(avg)-10cm  (F),2m DewPt avg (F),RelHum avg 2m  (pct),2m Rain tot (in),2m Rain max over 15min (in),SolRad avg2m  (w/m^2),10m Wind avg (mph),10m Wind min (mph),10m Wind max (mph),WDir avg10m  (deg),BP avg (mb),N (# obs),2m WetBulb (F),Year,Month,Day,DayOfWeek,Quarter,WeekOfYear,Season,Temp_Range,Soil_Temp_Range,Temp_Category,Apparent_Temp,Wind_Range,Wind_Category,Wind_Chill,Rain_Category,Has_Rain,Rain_Intensity,Humidity_Comfort,Dewpoint_Comfort,Solar_Category,Comfort_Index,Weather_Severity,Station_Avg_Temp,Station_Avg_Rain,Temp_Deviation_From_Station,Temp_Humidity_Interaction,Wind_Rain_Interaction
Apopka,11/01/2022,57.51,48.58,69.28,68.5,65.91,70.63,47.6,71,0,0,167.87,8.22,0.25,22.12,25,1023,96,52.08,2022,1,11,1,1,2,Winter,20.7,4.72,Mild,54.583593,21.87,Light,57.51,No Rain,0,0,Humid,Dry,Low,77.63224195,0.9533,72.36885949,0.159908759,-14.85885949,4083.21,0
Apopka,12/01/2022,60.42,50.88,72.21,67.49,64.87,70.21,51.43,75,0,0,150.64,5.81,0.76,17.76,49,1019,96,55.24,2022,1,12,2,1,2,Winter,21.33,5.34,Mild,58.04895,17,Light,60.42,No Rain,0,0,Humid,Comfortable,Low,88.85254445,0.7114,72.36885949,0.159908759,-11.94885949,4531.5,0
Apopka,13/01/2022,60.15,51.44,70.23,68.22,65.64,71.13,52.41,77,0.03,0.03,174.85,6.15,0.02,24.43,305,1012,96,55.65,2022,1,13,3,1,2,Winter,18.79,5.49,Mild,57.647115,24.41,Light,60.15,Light,1,0.12,Humid,Comfortable,Low,89.11658726,0.7985,72.36885949,0.159908759,-12.21885949,4631.55,0.1845
Apopka,14/01/2022,56.07,48.67,65.93,66.72,64.31,69.19,43.18,65,0,0,184.65,5.77,0,17.6,303,1011,96,49.38,2022,1,14,4,1,2,Winter,17.26,4.88,Mild,53.082015,17.6,Light,56.07,No Rain,0,0,Humid,Dry,Low,79.47418284,0.9273,72.36885949,0.159908759,-16.29885949,3644.55,0
Apopka,15/01/2022,56.88,40.92,72.5,65.19,61.72,68.54,46.17,71,0,0,175.92,3.24,0,15.64,168,1013,96,51.11,2022,1,15,5,1,2,Winter,31.58,6.82,Mild,53.805984,15.64,Calm,56.88,No Rain,0,0,Humid,Dry,Low,80.96637059,0.7856,72.36885949,0.159908759,-15.48885949,4038.48,0
Apopka,16/01/2022,62.23,57.76,66.7,65.82,64.13,66.78,54.57,76,0.54,0.3,70.24,12.94,1.25,38.23,230,1005,96,57.65,2022,1,16,6,1,2,Winter,8.94,2.65,Mild,60.281284,36.98,Moderate,62.23,Heavy,1,1.2,Humid,Comfortable,Low,70.74617783,1.9861,72.36885949,0.159908759,-10.13885949,4729.48,6.9876
Apopka,17/01/2022,53.48,46.96,58.89,63.05,61.12,65.01,45.05,74,0,0,171.31,11.17,0.92,28.97,292,1011,96,49.05,2022,1,17,0,1,3,Winter,11.93,3.89,Mild,49.445816,28.05,Moderate,53.48,No Rain,0,0,Humid,Dry,Low,69.04338471,1.2728,72.36885949,0.159908759,-18.88885949,3957.52,0
Apopka,18/01/2022,46.39,36.27,57.63,61.11,57.92,64.2,38.45,75,0,0,191.74,4.53,0.05,16.33,336,1019,96,42.66,2022,1,18,1,1,3,Winter,21.36,6.28,Cold,40.546525,16.28,Calm,44.30054641,No Rain,0,0,Humid,Dry,Low,81.00205123,1.3617,72.36885949,0.159908759,-25.97885949,3479.25,0
Apopka,19/01/2022,56.36,40.16,71.8,61.09,57.38,65.03,48.34,76,0,0,145.46,4.14,0.34,17.16,86,1019,96,51.94,2022,1,19,2,1,3,Winter,31.64,7.65,Mild,52.939088,16.82,Calm,56.36,No Rain,0,0,Humid,Dry,Low,86.59973523,0.8476,72.36885949,0.159908759,-16.00885949,4283.36,0
Apopka,20/01/2022,62.34,49.19,76.41,63.78,59.97,68.04,54.31,78,0,0,185.61,3.45,0.02,12.08,214,1016,96,57.55,2022,1,20,3,1,3,Winter,27.22,8.07,Mild,60.368316,12.06,Calm,62.34,No Rain,0,0,Humid,Comfortable,Low,89.64776465,0.521,72.36885949,0.159908759,-10.02885949,4862.52,0
Apopka,21/01/2022,61.37,52.93,71.33,65.62,62.83,68.65,57.21,87,0,0,115.27,4.62,0.02,19.35,23,1015,96,58.82,2022,1,21,4,1,3,Winter,18.4,5.82,Mild,58.892327,19.33,Calm,61.37,No Rain,0,0,Very Humid,Comfortable,Low,88.78642145,0.6163,72.36885949,0.159908759,-10.99885949,5339.19,0
Apopka,22/01/2022,49.16,43.28,54.05,63.73,61.14,66.67,48.39,97,0.01,0.01,22.4,7.42,0.6,21.85,11,1018,96,48.74,2022,1,22,5,1,3,Winter,10.77,5.53,Cold,42.489116,21.25,Light,45.98862989,Light,1,0.04,Very Humid,Dry,Low,69.23744492,1.3588,72.36885949,0.159908759,-23.20885949,4768.52,0.0742
Apopka,23/01/2022,43.31,38.29,49.62,59.94,58.21,61.09,40.17,89,0,0,93.69,6.24,0.63,16.35,323,1016,96,41.82,2022,1,23,6,1,3,Winter,11.33,2.88,Cold,35.471147,15.72,Light,39.55566435,No Rain,0,0,Very Humid,Dry,Low,74.50697866,1.5841,72.36885949,0.159908759,-29.05885949,3854.59,0
Apopka,24/01/2022,46.99,33.39,58.8,58.06,54.14,61.97,34.37,67,0,0,191.17,3.82,0,13.78,292,1013,96,41.34,2022,1,24,0,1,4,Winter,25.41,7.83,Cold,41.902489,13.78,Calm,45.53671691,No Rain,0,0,Humid,Dry,Low,73.88475831,1.3033,72.36885949,0.159908759,-25.37885949,3148.33,0
Apopka,25/01/2022,49.34,47.17,52.57,58.88,58.3,59.76,44.25,83,0.22,0.03,32.22,3.26,0.07,12.19,63,1014,96,46.74,2022,1,25,1,1,4,Winter,5.4,1.46,Cold,43.681226,12.12,Calm,48.69702059,Moderate,1,0.12,Very Humid,Dry,Low,80.50591164,1.6034,72.36885949,0.159908759,-23.02885949,4095.22,0.7172
Apopka,26/01/2022,54.62,48.81,59.36,58.78,57.69,60.13,53.73,97,0.4,0.17,34.83,7.09,0.58,18.72,37,1015,96,54.11,2022,1,26,2,1,4,Winter,10.55,2.44,Mild,49.696862,18.14,Light,54.62,Moderate,1,0.68,Very Humid,Comfortable,Low,73.44240138,1.8526,72.36885949,0.159908759,-17.74885949,5298.14,2.836
Apopka,27/01/2022,59.51,54.82,65.19,60.94,59.63,62.69,56.53,90,0,0,71.06,8.71,0.05,23.85,20,1017,96,57.71,2022,1,27,3,1,4,Winter,10.37,3.06,Mild,56.39447,23.8,Light,59.51,No Rain,0,0,Very Humid,Comfortable,Low,76.67778842,0.8729,72.36885949,0.159908759,-12.85885949,5355.9,0
Apopka,28/01/2022,56.78,51.31,67.01,61.91,59.97,64.53,52.34,86,0.02,0.01,117.95,7.19,0.56,22.53,308,1012,96,54.22,2022,1,28,4,1,4,Winter,15.7,4.56,Mild,53.028164,21.97,Light,56.78,Light,1,0.04,Very Humid,Comfortable,Low,82.02324362,0.9886,72.36885949,0.159908759,-15.58885949,4883.08,0.1438
Apopka,29/01/2022,43.23,35.46,53.74,59.09,56.57,61.75,24.3,48,0,0,210.2,11.83,0.16,32.7,316,1017,96,35.99,2022,1,29,5,1,4,Winter,18.28,5.18,Cold,38.989632,32.54,Moderate,36.96560714,No Rain,0,0,Comfortable,Dry,Moderate,43.16686572,1.8117,72.36885949,0.159908759,-29.13885949,2075.04,0
Apopka,30/01/2022,42.41,29.67,54.19,55.97,51.96,59.97,20.42,43,0,0,209.94,4.39,0.16,13.09,311,1022,96,34.48,2022,1,30,6,1,4,Winter,24.52,8.01,Cold,38.494979,12.93,Calm,39.77271314,No Rain,0,0,Comfortable,Dry,Moderate,56.2238413,1.5551,72.36885949,0.159908759,-29.95885949,1823.63,0
Apopka,31/01/2022,50.64,33.86,67.35,57.43,52.95,62.51,38.72,66,0,0,204.81,3.12,0.02,11.9,211,1020,96,44.9,2022,1,31,0,1,5,Winter,33.49,9.56,Mild,46.423392,11.88,Calm,50.64,No Rain,0,0,Humid,Dry,Moderate,73.44129242,1.0928,72.36885949,0.159908759,-21.72885949,3342.24,0
Apopka,01/02/2022,55.77,39.21,70.63,59.28,55.31,63.27,44.17,69,0,0,179.05,4.74,0.09,20.2,85,1020,96,49.69,2022,2,1,1,1,5,Winter,31.42,7.96,Mild,52.529829,20.11,Calm,55.77,No Rain,0,0,Humid,Dry,Low,83.10687171,0.9011,72.36885949,0.159908759,-16.59885949,3848.13,0
Apopka,02/02/2022,63.8,49.21,78.04,61.72,57.81,66.11,52.24,70,0,0,190.46,6.91,0.69,25.93,107,1018,96,57.02,2022,2,2,2,1,5,Winter,28.83,8.3,Mild,62.3678,25.24,Light,63.8,No Rain,0,0,Humid,Comfortable,Low,84.38203517,0.5864,72.36885949,0.159908759,-8.568859489,4466,0
Apopka,03/02/2022,70.32,61.39,81.18,65.39,61.93,69.48,60,72,0,0,187.96,7.43,0.13,23.38,133,1017,96,63.72,2022,2,3,3,1,5,Winter,19.79,7.55,Warm,70.396032,23.25,Light,70.32,No Rain,0,0,Humid,Comfortable,Low,87.68394436,0.3132,72.36885949,0.159908759,-2.048859489,5063.04,0
Apopka,04/02/2022,71.65,62.78,82.69,68.32,64.98,72.39,64.71,80,0,0,179.16,5.24,0.27,20.56,193,1017,96,67.02,2022,2,4,4,1,5,Winter,19.91,7.41,Warm,72.0856,20.29,Light,71.65,No Rain,0,0,Humid,Sticky,Low,98.38521285,0.2921,72.36885949,0.159908759,-0.718859489,5732,0
Apopka,05/02/2022,57.97,49.89,69.12,67,63.73,69.75,54.95,90,0.05,0.02,41.05,6.93,0.13,19.77,13,1019,96,56.18,2022,2,5,5,1,5,Winter,19.23,6.02,Mild,54.39709,19.64,Light,57.97,Light,1,0.08,Very Humid,Comfortable,Low,80.71499444,0.9787,72.36885949,0.159908759,-14.39885949,5217.3,0.3465
Apopka,06/02/2022,56.03,50.74,63.01,63.56,62.2,65.23,55.02,97,0.04,0.01,65.03,5.5,0.22,14.99,359,1018,96,55.43,2022,2,6,6,1,5,Winter,12.27,3.03,Mild,51.558203,14.77,Light,56.03,Light,1,0.04,Very Humid,Comfortable,Low,78.72449236,0.9985,72.36885949,0.159908759,-16.33885949,5434.91,0.22
Apopka,07/02/2022,52.77,49.08,60.01,62.84,61.57,64.6,51.06,94,0,0,100.12,5.2,0.22,16.73,322,1017,96,51.81,2022,2,7,0,1,6,Winter,10.93,3.03,Mild,47.425254,16.51,Light,52.77,No Rain,0,0,Very Humid,Comfortable,Low,79.66174123,1.0695,72.36885949,0.159908759,-19.59885949,4960.38,0
Apopka,08/02/2022,50.04,47.35,52.39,60.77,59.22,62.4,48.92,96,0.43,0.03,20.59,5.09,0.45,11.97,17,1016,96,49.44,2022,2,8,1,1,6,Winter,5.04,3.18,Mild,43.716672,11.52,Light,50.04,Moderate,1,0.12,Very Humid,Dry,Low,76.95153117,2.0616,72.36885949,0.159908759,-22.32885949,4803.84,2.1887
Apopka,09/02/2022,53.2,43.57,64.74,60.56,57.9,64.31,44.41,76,0.01,0.01,219.15,5.37,0.25,16.13,352,1015,96,48.62,2022,2,9,2,1,6,Winter,21.17,6.41,Mild,48.98656,15.88,Light,53.2,Light,1,0.04,Humid,Dry,Moderate,86.42327481,1.0748,72.36885949,0.159908759,-19.16885949,4043.2,0.0537
Apopka,10/02/2022,53.91,40.14,69.04,60.38,55.89,65.39,42.87,71,0,0,225.06,3.78,0.02,16.96,40,1016,96,48.25,2022,2,10,3,1,6,Winter,28.9,9.5,Mild,50.140113,16.94,Calm,53.91,No Rain,0,0,Humid,Dry,Moderate,80.68545564,0.9557,72.36885949,0.159908759,-18.45885949,3827.61,0
Apopka,11/02/2022,60.86,47.97,76.28,62.54,58.44,67.3,50.63,71,0,0,177.86,4.31,0.02,14.88,72,1015,96,55.01,2022,2,11,4,1,6,Winter,28.31,8.86,Mild,58.718498,14.86,Calm,60.86,No Rain,0,0,Humid,Comfortable,Low,86.3445088,0.6294,72.36885949,0.159908759,-11.50885949,4321.06,0
Apopka,12/02/2022,65.25,51.55,80.89,65.62,61.3,70.5,54.04,72,0,0,199.2,2.7,0.02,8.88,5,1015,96,58.53,2022,2,12,5,1,6,Winter,29.34,9.2,Mild,64.1214,8.86,Calm,65.25,No Rain,0,0,Humid,Comfortable,Low,85.18321095,0.3455,72.36885949,0.159908759,-7.118859489,4698,0
Apopka,13/02/2022,63.42,54.52,72.09,66.92,65.26,69.12,58.28,84,0.14,0.03,126.98,6.14,0.05,26.46,282,1014,96,60.23,2022,2,13,6,1,6,Winter,17.57,3.86,Mild,61.596024,26.41,Light,63.42,Moderate,1,0.12,Very Humid,Comfortable,Low,90.32045196,0.8546,72.36885949,0.159908759,-8.948859489,5327.28,0.8596
Apopka,14/02/2022,50.64,40.58,62.15,62.94,58.95,66.72,27.6,43,0,0,225.38,6.61,0.09,19.91,5,1023,96,41,2022,2,14,0,1,7,Winter,21.57,7.77,Mild,47.892816,19.82,Light,50.64,No Rain,0,0,Comfortable,Dry,Moderate,58.74460423,1.2324,72.36885949,0.159908759,-21.72885949,2177.52,0
Apopka,15/02/2022,56.03,39.03,69.93,61.66,58.17,65.17,46.18,71,0,0,141.49,6.81,1.05,25.3,58,1026,96,50.74,2022,2,15,1,1,7,Winter,30.9,7,Mild,52.756829,24.25,Light,56.03,No Rain,0,0,Humid,Dry,Low,80.67377033,0.9709,72.36885949,0.159908759,-16.33885949,3978.13,0
Apopka,16/02/2022,65.6,53.28,78.39,64.69,60.91,69.04,57.19,77,0,0,194.97,7.4,0.72,24.65,93,1025,96,60.4,2022,2,16,2,1,7,Winter,25.11,8.13,Mild,64.48196,23.93,Light,65.6,No Rain,0,0,Humid,Comfortable,Low,88.90957596,0.516,72.36885949,0.159908759,-6.768859489,5051.2,0
Apopka,17/02/2022,72.52,61.7,84.85,68.16,64.94,72.27,65.39,81,0,0,169.24,6.44,0.31,20.65,130,1019,96,67.72,2022,2,17,3,1,7,Winter,23.15,7.33,Warm,73.193596,20.34,Light,72.52,No Rain,0,0,Very Humid,Uncomfortable,Low,93.82823468,0.3836,72.36885949,0.159908759,0.151140511,5874.12,0
Apopka,18/02/2022,73.48,68.9,81.75,71.3,68.85,74.71,68.2,84,0,0,145.56,5.22,0.47,15.66,237,1016,96,69.84,2022,2,18,4,1,7,Winter,12.85,5.86,Warm,74.444656,15.19,Light,73.48,No Rain,0,0,Very Humid,Uncomfortable,Low,94.59087868,0.3828,72.36885949,0.159908759,1.111140511,6172.32,0
Apopka,19/02/2022,66.36,50.43,73.22,71.77,70.18,74.52,55.33,71,0,0,154.01,6.09,0.34,18.36,342,1018,96,59.65,2022,2,19,5,1,7,Winter,22.79,4.34,Mild,65.507148,18.02,Light,66.36,No Rain,0,0,Humid,Comfortable,Low,88.89605497,0.4256,72.36885949,0.159908759,-6.008859489,4711.56,0
Apopka,20/02/2022,61.61,47.07,76.12,69.28,65.05,73.74,48.99,65,0,0,235.37,7.35,1.3,21.7,69,1022,96,54.5,2022,2,20,6,1,7,Winter,29.05,8.69,Mild,59.810345,20.4,Light,61.61,No Rain,0,0,Humid,Dry,Moderate,78.40108494,0.7135,72.36885949,0.159908759,-10.75885949,4004.65,0
Apopka,21/02/2022,67.42,56.5,79.32,70.29,66.79,74.1,57.01,72,0,0,189.07,5.8,0.58,19.57,99,1021,96,60.98,2022,2,21,0,1,8,Winter,22.82,7.31,Mild,66.806992,18.99,Light,67.42,No Rain,0,0,Humid,Comfortable,Low,91.02973165,0.361,72.36885949,0.159908759,-4.948859489,4854.24,0
Apopka,22/02/2022,70.87,60.08,82.83,71.88,68.05,76.32,61.5,75,0,0,215.76,6.36,0.36,17.34,115,1021,96,64.79,2022,2,22,1,1,8,Winter,22.75,8.27,Warm,71.085325,16.98,Light,70.87,No Rain,0,0,Humid,Sticky,Moderate,92.39872862,0.2979,72.36885949,0.159908759,-1.498859489,5315.25,0
Apopka,23/02/2022,72.68,64.2,84.15,74.03,70.36,78.57,65.74,81,0,0,215.22,4.37,0.09,13.73,144,1020,96,68,2022,2,23,2,1,8,Winter,19.95,8.21,Warm,73.396364,13.64,Calm,72.68,No Rain,0,0,Very Humid,Uncomfortable,Moderate,95.63253937,0.3088,72.36885949,0.159908759,0.311140511,5887.08,0
Apopka,24/02/2022,71.52,60.87,83.82,74.92,71.02,78.84,63.63,79,0,0,217.02,3.85,0.05,13.62,126,1020,96,66.3,2022,2,24,3,1,8,Winter,22.95,7.82,Warm,71.916264,13.57,Calm,71.52,No Rain,0,0,Humid,Sticky,Moderate,94.98428501,0.23,72.36885949,0.159908759,-0.848859489,5650.08,0
Apopka,25/02/2022,73.23,62.44,84.76,75.45,71.98,79.39,64.94,78,0,0,202.16,3.09,0.05,16.8,176,1021,96,67.67,2022,2,25,4,1,8,Winter,22.32,7.41,Warm,74.061402,16.75,Calm,73.23,No Rain,0,0,Humid,Sticky,Moderate,91.14893829,0.2851,72.36885949,0.159908759,0.861140511,5711.94,0
Apopka,26/02/2022,72.08,60.91,84.58,76.21,72.23,80.64,64.12,78,0,0,236.78,4.24,0,15.99,148,1021,96,66.78,2022,2,26,5,1,8,Winter,23.67,8.41,Warm,72.615392,15.99,Calm,72.08,No Rain,0,0,Humid,Sticky,Moderate,95.04763983,0.2736,72.36885949,0.159908759,-0.288859489,5622.24,0
Apopka,27/02/2022,71.26,58.73,82.89,76.76,72.81,81.09,62.28,76,0,0,238.24,3.89,0,14.88,267,1017,96,65.38,2022,2,27,6,1,8,Winter,24.16,8.28,Warm,71.576008,14.88,Calm,71.26,No Rain,0,0,Humid,Sticky,Moderate,93.19035783,0.2186,72.36885949,0.159908759,-1.108859489,5415.76,0
Apopka,28/02/2022,64.19,57.63,72.27,75.2,73.35,77.9,60.39,88,0.05,0.03,106.1,4.63,0.02,21.21,340,1014,96,61.78,2022,2,28,0,1,9,Winter,14.64,4.55,Mild,62.502776,21.19,Calm,64.19,Light,1,0.12,Very Humid,Sticky,Low,89.82351881,0.5757,72.36885949,0.159908759,-8.178859489,5648.72,0.2315
Apopka,01/03/2022,62.33,57.09,73.02,72.65,70.43,75.65,53.88,76,0,0,194.74,5.99,0.29,21.07,26,1015,96,57.31,2022,3,1,1,1,9,Spring,15.93,5.22,Mild,60.406364,20.78,Light,62.33,No Rain,0,0,Humid,Comfortable,Low,90.18694835,0.6231,72.36885949,0.159908759,-10.03885949,4737.08,0
Apopka,02/03/2022,63.23,49.21,76.33,72.08,67.69,76.84,50.94,67,0,0,254.68,4.91,0.07,14.54,17,1017,96,56.13,2022,3,2,2,1,9,Spring,27.12,9.15,Mild,61.733153,14.47,Calm,63.23,No Rain,0,0,Humid,Comfortable,Moderate,86.69426167,0.5349,72.36885949,0.159908759,-9.138859489,4236.41,0
Apopka,03/03/2022,66.75,52.72,81.54,73.43,69.06,78.42,53.11,66,0,0,247.95,3.04,0.05,12.39,44,1018,96,58.62,2022,3,3,3,1,9,Spring,28.82,9.36,Mild,66.04215,12.34,Calm,66.75,No Rain,0,0,Humid,Comfortable,Moderate,82.90995284,0.2841,72.36885949,0.159908759,-5.618859489,4405.5,0
Apopka,04/03/2022,69.72,56.1,83.59,74.69,70.7,78.93,50.81,56,0,0,252.54,5.01,0.02,18.77,77,1021,96,58.61,2022,3,4,4,1,9,Spring,27.49,8.23,Mild,69.668256,18.75,Light,69.72,No Rain,0,0,Comfortable,Comfortable,Moderate,83.31724363,0.2144,72.36885949,0.159908759,-2.648859489,3904.32,0
Apopka,05/03/2022,69.31,55.89,83.25,74.62,71.24,78.1,58.77,73,0,0,221.95,6.67,0.36,23.85,95,1023,96,62.65,2022,3,5,5,1,9,Spring,27.36,6.86,Mild,69.143779,23.49,Light,69.31,No Rain,0,0,Humid,Comfortable,Moderate,90.4279854,0.3013,72.36885949,0.159908759,-3.058859489,5059.63,0
Apopka,06/03/2022,72.38,60.55,85.75,75.42,71.73,79.66,60.35,70,0,0,256.43,7.31,0.72,24.67,105,1022,96,64.62,2022,3,6,6,1,9,Spring,25.2,7.93,Warm,72.92978,23.95,Light,72.38,No Rain,0,0,Humid,Sticky,Moderate,85.40469084,0.4114,72.36885949,0.159908759,0.011140511,5066.6,0
Apopka,07/03/2022,74.66,65.53,86.97,76.9,73.6,80.83,66.33,78,0.71,0.25,214.58,6.31,0.31,20.92,148,1017,96,69,2022,3,7,0,1,10,Spring,21.44,7.23,Warm,75.859484,20.61,Light,74.66,Heavy,1,1,Humid,Uncomfortable,Moderate,92.31998619,1.9054,72.36885949,0.159908759,2.291140511,5823.48,4.4801
Apopka,08/03/2022,74.65,69.73,86.76,77.41,74.84,80.58,70.22,88,0.14,0.14,173.29,4.06,0.07,18.63,174,1014,96,71.55,2022,3,8,1,1,10,Spring,17.03,5.74,Warm,76.00036,18.56,Calm,74.65,Moderate,1,0.56,Very Humid,Oppressive,Low,88.77186523,0.6749,72.36885949,0.159908759,2.281140511,6569.2,0.5684
Apopka,09/03/2022,74.34,68.63,84.74,76.85,74.71,79.75,70.24,88,0.12,0.06,151.92,5.5,0.13,17.31,171,1012,96,71.47,2022,3,9,2,1,10,Spring,16.11,5.04,Warm,75.600336,17.18,Light,74.34,Moderate,1,0.24,Very Humid,Oppressive,Low,90.54352162,0.677,72.36885949,0.159908759,1.971140511,6541.92,0.66
Apopka,10/03/2022,69.09,64.18,79.74,74.48,72.82,76.66,66.84,93,1.66,0.41,102.04,4.84,0.02,20.85,90,1013,96,67.56,2022,3,10,3,1,10,Spring,15.56,3.84,Mild,68.810721,20.83,Calm,69.09,Very Heavy,1,1.64,Very Humid,Uncomfortable,Low,89.92047473,3.5591,72.36885949,0.159908759,-3.278859489,6425.37,8.0344
Apopka,11/03/2022,73.86,65.48,84.78,74.11,71.46,77.11,68.96,86,0,0,129.31,4.63,0.05,16.28,153,1011,96,70.47,2022,3,11,4,1,10,Spring,19.3,5.65,Warm,74.955468,16.23,Calm,73.86,No Rain,0,0,Very Humid,Uncomfortable,Low,92.21120725,0.3782,72.36885949,0.159908759,1.491140511,6351.96,0
Apopka,12/03/2022,64.47,42.96,75.51,71.94,66.43,74.82,54.02,72,0.58,0.31,84.46,11.63,0.47,38.47,262,1010,96,58.22,2022,3,12,5,1,10,Spring,32.55,8.39,Mild,63.156072,38,Moderate,64.47,Heavy,1,1.24,Humid,Comfortable,Low,72.99761266,1.9017,72.36885949,0.159908759,-7.898859489,4641.84,6.7454
Apopka,13/03/2022,49.33,35.1,62.98,66.02,60.85,71.53,36.48,62,0,0,277.29,7.81,0.36,21.72,19,1024,93,43.35,2022,3,13,6,1,10,Spring,27.88,10.68,Cold,45.100918,21.36,Light,46.02815788,No Rain,0,0,Humid,Dry,Moderate,67.66882812,1.3459,72.36885949,0.159908759,-23.03885949,3058.46,0
